DOID_216	HP_0000163	HP_0000271	HP_0000696	HP_0008498	HP_0000670	HP_0000684	HP_0000234	HP_0000152	HP_0000153	HP_0000164	HP_0006292	HP_0006349
DOID_217	HP_0000685	HP_0000684	HP_0006292	HP_0008498	HP_0000670	HP_0000271	HP_0000164	HP_0000163	HP_0000234	HP_0000153	HP_0000152	HP_0000696
DOID_218	HP_0002025	HP_0003003	MP_0011252	HP_0040275	HP_0100834	HP_0002572	HP_0007378	HP_0002250	HP_0040276	HP_0002242	HP_0100273	HP_0031369
DOID_219	HP_0100273	HP_0100834	HP_0002242	HP_0011024	HP_0005227	HP_0002250	HP_0006749	HP_0007378	HP_0011793	HP_0002672	HP_0040273	HP_0040275
DOID_222	MP_0001544	MP_0001914	MP_0008817	MP_0002128	MP_0000001
DOID_223	HP_0002635	HP_0008480	HP_0100576	HP_0002464	HP_0030516	HP_0001727	HP_0001488	HP_0012377	HP_0002363	HP_0010819	HP_0007361	HP_0010542
DOID_224	HP_0002140	HP_0025153	HP_0100546	HP_0100545	HP_0100659	HP_0002637	HP_0011004	HP_0012443	HP_0002326	HP_0025015	HP_0001297	HP_0100576
DOID_225	HP_0100281	HP_0000137	HP_0002863	HP_0000147	HP_0004392	HP_0100279	HP_0000138	HP_0012432	HP_0011332	HP_0002037	HP_0000737	HP_0031065
DOID_227	MP_0030515	MP_0030328	HP_0010754	HP_0100264	MP_0000428	HP_0000277	HP_0100240	MP_0030327	MP_0030524	HP_0040263	MP_0005382	HP_0012478
DOID_229	HP_0000812	HP_0031502	HP_0000130	MP_0009661	MP_0003541	HP_0000140	HP_0030126	HP_0000858	MP_0009360	MP_0005389	MP_0003375	MP_0003376
DOID_230	HP_0012757	HP_0002450	HP_0002366	HP_0007354	HP_0002180	HP_0025275	HP_0002483	HP_0007373	HP_0002011	MP_0030214	HP_0012639	HP_0002145
DOID_231	HP_0006802	HP_0002200	HP_0002145	HP_0003202	HP_0007373	HP_0025275	HP_0002450	HP_0002366	HP_0012757	HP_0007269	HP_0040290	HP_0007024
DOID_233	HP_0012122	HP_0000554	HP_0012121	HP_0007813	MP_0005515	MP_0001851	MP_0001848	HP_0011531	HP_0012123	HP_0012424	HP_0025188	HP_0012124
DOID_234	HP_0006749	HP_0007378	MP_0009308	HP_0040273	HP_0003003	HP_0002250	HP_0100273	HP_0002242	HP_0002672	MP_0002038	HP_0040275	HP_0100834
DOID_235	HP_0040275	HP_0012851	HP_0040276	HP_0040273	MP_0005037	HP_0002672	HP_0003003	HP_0025089	HP_0002250	HP_0100273	HP_0100834	HP_0030409
DOID_238	HP_0200057	HP_0000615	HP_0000512	HP_0009916	HP_0011423	HP_0030407	HP_0012074	HP_0011499	HP_0025592	HP_0001089	MP_0003019	HP_0007686
DOID_239	HP_0025513	HP_0001083	HP_0007795	HP_0200056	HP_0011500	HP_0011483	HP_0012019	HP_0011886	HP_0007902	HP_0001132	HP_0011525	HP_0011885
DOID_240	HP_0007750	MP_0002720	HP_0001101	HP_0004328	HP_0000526	HP_0011524	HP_0001104	HP_0012629	HP_0007676	HP_0000493	HP_0000525	HP_0012627
DOID_248	MP_0013752	HP_0030828	HP_0005607	MP_0001950	HP_0005347	HP_0002781	HP_0030829	MP_0013030	HP_0002777	HP_0002778	HP_0012764	HP_0100551
DOID_250	MP_0011588	HP_0002448	HP_0007111	HP_0002075	HP_0001298	MP_0013806	HP_0002389	HP_0002480	HP_0006846	MP_0004994	HP_0007335	HP_0007266
DOID_251	HP_0000708	MP_0009674	HP_0000709	HP_0031258	HP_0011999	MP_0009672	HP_0001289	HP_0030955	HP_0000751	HP_0008765	HP_0030858	HP_0000738
DOID_252	HP_0000708	HP_0008765	HP_0000738	HP_0000751	MP_0009674	HP_0030858	HP_0001289	HP_0011999	HP_0030955	HP_0031258	HP_0000709	MP_0009672
DOID_255	HP_0100026	HP_0005306	HP_0001071	HP_0009594	HP_0100742	HP_0006548	HP_0001048	HP_0002408	HP_0001028	MP_0002947	HP_0010797	HP_0001014
DOID_256	HP_0007461	HP_0001971	HP_0001048	HP_0012223	HP_0009799	HP_0001937	HP_0005520	HP_0001743	HP_0025408	HP_0001978	HP_0001744	HP_0001747
DOID_260	HP_0006532	HP_0012834	HP_0002088	HP_0012649	HP_0012830	HP_0002783	HP_0002086	HP_0011947	HP_0002719	HP_0002090	HP_0012831	HP_0002205
DOID_261	HP_0007378	HP_0040275	HP_0012851	HP_0002250	HP_0002242	HP_0012423	HP_0031524	HP_0100273	HP_0003003	HP_0040273	HP_0100834	HP_0040276
DOID_262	HP_0031500	HP_0008663	HP_0008696	HP_0011798	MP_0002666	HP_0012570	HP_0012315	HP_0000859	HP_0011741	HP_0010566	HP_0006772	HP_0009726
DOID_263	HP_0008643	HP_0002667	HP_0011794	HP_0000079	HP_0000119	HP_0010935	HP_0009726	HP_0007379	HP_0011798	HP_0010786	HP_0000077	HP_0002898
DOID_264	HP_0012315	HP_0100835	HP_0031459	HP_0011889	HP_0200058	HP_0002858	MP_0003667	HP_0012720	HP_0002749	HP_0012289	HP_0012570	HP_0100697
DOID_265	HP_0003281	HP_0200058	HP_0025408	HP_0031500	HP_0001937	MP_0005435	HP_0011854	HP_0001746	HP_0007461	HP_0040133	HP_0001744	MP_0013184
DOID_268	MP_0003619	MP_0011583	HP_0100242	MP_0011414	HP_0012028	MP_0000321	MP_0013145	HP_0031020	HP_0200058	MP_0011584	HP_0200059	HP_0030448
DOID_270	HP_0100243	HP_0002859	HP_0030448	MP_0002032	HP_0006743	HP_0009728	HP_0200058	HP_0031025	HP_0002884	HP_0012315	MP_0003667	HP_0100242
DOID_271	HP_0011934	HP_0006706	HP_0100859	HP_0031181	HP_0006737	HP_0001407	HP_0001048	HP_0002636	HP_0031261	HP_0031207	HP_0100742	HP_0001028
DOID_272	HP_0004936	HP_0031015	HP_0410042	HP_0000822	HP_0001971	HP_0030169	MP_0000609	HP_0030972	HP_0001392	HP_0002012	HP_0002040	HP_0030247
DOID_275	HP_0011029	MP_0000465	HP_0011854	HP_0025085	MP_0005435	HP_0001048	MP_0003261	HP_0002249	MP_0003260	HP_0031274	HP_0002239	HP_0002248
